full_name,shirt_name,position,country,no,team_code
Janina Leitzig,Leitzig,goalkeeper,DEU,25,MUN
Phallon Tullis-Joyce,Tullis-Joyce,goalkeeper,USA,91,MUN
Safia Middleton-Patel,Middleton-Patel,goalkeeper,WAL,39,MUN
Kayla Rendell,Rendell,goalkeeper,ENG,1,MUN
Andrea Medina,Medina,defender,ESP,6,MUN
Anna Sandberg,Sandberg,defender,ESP,2,MUN
Dominique Janssen,Janssen,defender,NLD,17,MUN
Hanna Lundkvist,Lundkvist,defender,SWE,5,MUN
Jayde Riviere,Riviere,defender,CAN,14,MUN
Jess Simpson,Simpson,defender,ENG,26,MUN
Lucy Newell,Newell,defender,ENG,55,MUN
Maya Le Tissler,Le Tissler,defender,ENG,4,MUN
Rebeca Bernal,Bernal,defender,MEX,16,MUN
Scarlett Hill,Hill,defender,WAL,22,MUN
Ella Toone,Toone,midfielder,ENG,7,MUN
Emma Watson,Watson,midfielder,SCO,21,MUN
Hinata Miyazawa,Miyazawa,midfielder,JPN,20,MUN
Jess Park,Park,midfielder,ENG,8,MUN
Jessica Anderson,Anderson,midfielder,ENG,47,MUN
Julia Ziglotti Olme,Ziglotti Olme,midfielder,SWE,15,MUN
Maren Griffiths,Griffiths,midfielder,WAL,36,MUN
Simi Awujo,Awujo,midfielder,CAN,13,MUN
Celin Bizet Donnum,Bizet Donnum,forward,NOR,11,MUN
Elisabeth Terland,Terland,forward,NOR,10,MUN
Ellen Wangerhelm,Wangerhelm,forward,SWE,19,MUN
Fridolina Rolfö,Rolfö,forward,SWE,12,MUN
Layla Drury,Drury,forward,ENG,27,MUN
Lea Schüller,Schüller,forward,DEU,24,MUN
Monica Jusu Bah,Jusu Bah,forward,SWE,23,MUN
